,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
June-2022,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
June-2022,Overnight Fund,3 0,"6 ,11,507","5 ,26,275.02","5 ,46,943.09","1 ,02,944.95","1 ,52,639.12",-,-
June-2022,Liquid Fund,3 7,"1 7,49,619","2 ,98,147.68","3 ,13,930.32","3 ,64,492.65","4 ,05,242.55",-,-
June-2022,Ultra Short Duration Fund,2 7,"6 ,14,710","1 3,938.47","2 3,996.46","8 6,632.74","9 2,354.06",-,-
June-2022,Low Duration Fund,2 2,"1 0,13,889","4 ,687.96","1 3,220.31","9 9,428.94","1 ,04,096.56",1,-
June-2022,Money Market Fund,2 0,"4 ,14,995","2 0,103.15","2 8,229.27","1 ,08,586.56","1 ,09,588.59",-,-
June-2022,Short Duration Fund,2 5,"5 ,45,864",6 43.32,"7 ,292.22","9 6,256.08","9 9,023.66",-,-
June-2022,Medium Duration Fund,1 6,"2 ,68,362",1 50.93,"1 ,379.26","2 8,890.94","2 9,280.51",4,1 30.50
June-2022,Medium to Long Duration Fund,1 3,"1 ,13,016",4 1.67,2 08.83,"9 ,113.33","9 ,165.79",-,-
June-2022,Long Duration Fund,2,"2 3,951",5 5.82,1 9.18,"2 ,508.48","2 ,469.41",-,-
June-2022,Dynamic Bond Fund,2 5,"2 ,24,531",1 75.45,9 13.13,"2 1,667.60","2 2,064.29",1,5 0.05
June-2022,Corporate Bond Fund,2 1,"6 ,38,542",4 89.79,"9 ,575.81","1 ,15,545.39","1 ,19,144.85",-,-
June-2022,Credit Risk Fund,1 5,"2 ,64,066",1 58.31,6 40.73,"2 6,161.93","2 6,350.39",4,6 6.30
June-2022,Banking and PSU Fund,2 2,"3 ,16,076",6 44.95,"4 ,526.23","8 4,974.05","8 7,269.11",-,-
June-2022,Gilt Fund,2 1,"1 ,73,032",1 46.14,1 74.21,"1 5,120.58","1 5,069.53",-,-
June-2022,Gilt Fund with 10 year constant duration,4,"4 2,765",2 59.42,3 8.74,"1 ,938.23","1 ,799.51",-,-
June-2022,Floater Fund,1 2,"2 ,54,706","1 ,341.75","8 ,419.69","6 9,811.34","7 2,309.47",-,-
June-2022,"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",3 12,"7 2,69,631","8 ,67,259.84","9 ,59,507.47","1 2,34,073.78","1 3,47,867.40",1 0,2 46.85
-,-,-,-,-,-,-,-,-,-
June-2022,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
June-2022,Multi Cap Fund,1 4,"3 3,89,335","1 ,378.79",4 08.54,"5 3,297.70","5 3,186.60",-,-
June-2022,Large Cap Fund,3 1,"1 ,27,50,858","3 ,860.81","1 ,730.46","2 ,12,074.38","2 ,12,716.10",-,-
June-2022,Large & Mid Cap Fund,2 7,"7 0,88,163","3 ,129.74","1 ,135.01","1 ,05,880.69","1 ,05,453.08",-,-
June-2022,Mid Cap Fund,2 6,"9 1,32,054","3 ,041.38","1 ,189.71","1 ,50,744.39","1 ,50,723.62",-,-
June-2022,Small Cap Fund,2 4,"8 4,79,510","2 ,581.47",9 65.54,"1 ,02,481.52","1 ,02,090.23",-,-
June-2022,Dividend Yield Fund,8,"5 ,84,894",1 45.36,7 8.86,"9 ,145.31","9 ,223.11",-,-
June-2022,Value Fund/Contra Fund,2 2,"4 1,56,360","1 ,321.73",4 74.58,"7 5,220.51","7 5,216.96",-,-
June-2022,Focused Fund,2 6,"5 2,36,415","2 ,061.70",8 70.13,"9 0,621.98","9 0,751.23",-,-
June-2022,Sectoral/Thematic Funds,1 18,"1 ,24,14,900","3 ,828.49","2 ,150.68","1 ,41,636.05","1 ,41,953.06",-,-
June-2022,ELSS,3 9,"1 ,41,88,907","1 ,467.18",8 27.12,"1 ,34,225.70","1 ,35,193.62",-,-
June-2022,Flexi Cap Fund,3 1,"1 ,20,74,588","4 ,720.39","2 ,208.65","2 ,10,682.47","2 ,11,296.44",-,-
June-2022,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),3 66,"8 ,94,95,984","2 7,537.04","1 2,039.28","1 2,86,010.69","1 2,87,804.06",-,-
-,-,-,-,-,-,-,-,-,-
June-2022,Hybrid Schemes,-,-,-,-,-,-,-,-
